1, 16036, 1024
2, 7556, 512
3, 14484, 1024
4, 30640, 2048
5, 25564, 2048
6, 16744, 1024
7, 15760, 1024
8, 7468, 512
9, 16236, 1024
10, 25900, 2048
11, 12152, 1024
12, 12396, 1024
13, 16452, 1024
14, 12212, 1024
15, 7084, 512
16, 13820, 1024
17, 7212, 512
18, 16404, 1024
19, 16116, 1024
20, 16292, 1024
21, 16268, 1024
22, 16072, 1024
23, 16272, 1024
24, 32276, 2048
25, 15912, 1024
26, 12068, 1024
27, 16752, 1024
28, 16224, 1024
29, 16180, 1024
30, 15916, 1024
31, 16184, 1024
32, 7044, 512
33, 3124, 256
34, 7224, 512
35, 16100, 1024
36, 16436, 1024
37, 14492, 1024
38, 16628, 1024
39, 7184, 512
40, 7232, 512
41, 27288, 2048
42, 10528, 1024
43, 7068, 512
44, 3136, 256
45, 16124, 1024
46, 12204, 1024
47, 7360, 512
48, 14616, 1024
49, 12240, 1024
50, 7576, 512
51, 16240, 1024
52, 15372, 1024
53, 16180, 1024
54, 12304, 1024
55, 16128, 1024
56, 27252, 2048
57, 15696, 1024
58, 12092, 1024
59, 7172, 512
60, 16132, 1024
61, 15512, 1024
62, 32192, 2048
63, 27224, 2048
64, 14592, 1024
65, 15420, 1024
66, 12280, 1024
67, 16156, 1024
68, 15028, 1024
69, 25400, 2048
70, 12084, 1024
71, 15148, 1024
72, 7440, 512
73, 15452, 1024
74, 3340, 256
75, 14744, 1024
76, 16360, 1024
77, 16416, 1024
78, 12200, 1024
79, 15360, 1024
80, 16200, 1024
81, 27280, 2048
82, 23316, 2048
83, 11424, 1024
84, 7112, 512
85, 7236, 512
86, 15612, 1024
87, 16016, 1024
88, 14408, 1024
89, 14380, 1024
90, 16108, 1024
91, 6888, 512
92, 16432, 1024
93, 26324, 2048
94, 16492, 1024
95, 15348, 1024
96, 27276, 2048
97, 16220, 1024
98, 15996, 1024
99, 15656, 1024
100, 16168, 1024 
