 
1, 34564, 2048
2, 27248, 2048
3, 27196, 2048
4, 27316, 2048
5, 49860, 4096
6, 36252, 2048
7, 36316, 2048
8, 16420, 1024
9, 31872, 2048
10, 16064, 1024
11, 34676, 2048
12, 27556, 2048
13, 34216, 2048
14, 34592, 2048
15, 36224, 2048
16, 27352, 2048
17, 12088, 1024
18, 27420, 2048
19, 32416, 2048
20, 16032, 1024
21, 27564, 2048
22, 25512, 2048
23, 36292, 2048
24, 58856, 4096
25, 3092, 256
26, 32328, 2048
27, 32044, 2048
28, 6892, 512
29, 35716, 2048
30, 16212, 1024
31, 15888, 1024
32, 16044, 1024
33, 27188, 2048
34, 60472, 4096
35, 36216, 2048
36, 27200, 2048
37, 15876, 1024
38, 35492, 2048
39, 16384, 1024
40, 35100, 2048
41, 32268, 2048
42, 36264, 2048
43, 32340, 2048
44, 36040, 2048
45, 34784, 2048
46, 36184, 2048
47, 35164, 2048
48, 26984, 2048
49, 7148, 512
50, 32320, 2048
51, 16380, 1024
52, 32320, 2048
53, 7472, 512
54, 36024, 2048
55, 32432, 2048
56, 26952, 2048
57, 16452, 1024
58, 16764, 1024
59, 35620, 2048
60, 16364, 1024
61, 27324, 2048
62, 32020, 2048
63, 35532, 2048
64, 47564, 4096
65, 36156, 2048
66, 35636, 2048
67, 35960, 2048
68, 36248, 2048
69, 16292, 1024
70, 59720, 4096
71, 71588, 4096
72, 16164, 1024
73, 27276, 2048
74, 27496, 2048
75, 27288, 2048
76, 27396, 2048
77, 32080, 2048
78, 32384, 2048
79, 35640, 2048
80, 35984, 2048
81, 58852, 4096
82, 32932, 2048
83, 27296, 2048
84, 27556, 2048
85, 27080, 2048
86, 35500, 2048
87, 36256, 2048
88, 16240, 1024
89, 32376, 2048
90, 30876, 2048
91, 16940, 1024
92, 36712, 2048
93, 16248, 1024
94, 34540, 2048
95, 27296, 2048
96, 34616, 2048
97, 27304, 2048
98, 36108, 2048
99, 32256, 2048
100, 35700, 2048
